"#","RefDes","Name","Value","Quantity"
"1","C1, C2, C5, C7, C8","CAP_0805","100n","5"
"2","C3","CAP_0805","1u","1"
"3","C4, C11, C12","CAP_0805","10u","3"
"4","C6","CAP_0805","4.7n","1"
"5","C9, C10","CAP_0603","18p","2"
"6","D1, D2","LHR974","","2"
"7","F1","0ZCH0050FF2G","","1"
"8","J1","USB-10118192-0001LF","","1"
"9","J2, J4","1-644456-6","","2"
"10","J3","87758-10","","1"
"11","L1","IND_0805","MH2029","1"
"12","Q1","2N7002","","1"
"13","Q2","IRLML6402","","1"
"14","R1, R2, R8","RES_0805","330","3"
"15","R3","RES_0805","1M","1"
"16","R4, R5, R7, R9","RES_0805","100k","4"
"17","R6, R10","RES_0805","39","2"
"18","S1","SPSTNO_1437566","","1"
"19","U1","IP4220CZ6","","1"
"20","U2","ATSAMD21G18A-AU","","1"
"21","U3","AP2114H-3.3","","1"
"22","U4","74AHCT1G125GV","","1"
"23","Y1","9HT7","","1"
