"RefDes","Quantity","Value","Name"
"C1","1","10u","UWJ1C100MLC1GB"
"C2","1","100n","CAP_0805"
"C3","1","100n","CAP_0805"
"C4","1","1u","CAP_0805"
"C5","1","10u","UWJ1C100MLC1GB"
"C6","1","100n","CAP_0805"
"C7","1","100n","CAP_0805"
"C8","1","100n","CAP_0805"
"C9","1","18p","CAP_0603"
"C10","1","18p","CAP_0603"
"C11","1","4.7n","CAP_0805"
"C12","1","4.5u","CAP_0805"
"C13","1","4.5u","CAP_0805"
"D1","1","","LED_0805"
"D2","1","","LED_0805"
"J1","1","","1-644456-6"
"J2","1","","87758-10"
"J3","1","","1-644456-6"
"J4","1","","USB-10118193-0001LF"
"L1","1","MH2029","IND_0805"
"Q1","1","","IRLML6402"
"Q2","1","","2N7002"
"R1","1","10k","RES_0805"
"R2","1","10k","RES_0805"
"R3","1","330","RES_0805"
"R4","1","330","RES_0805"
"R5","1","1M","RES_0805"
"R6","1","330","RES_0805"
"R7","1","100k","RES_0805"
"R8","1","100k","RES_0805"
"R9","1","330","RES_0805"
"R10","1","330","RES_0805"
"R11","1","1.8k","RES_0805"
"R12","1","10k","RES_0805"
"S1","1","","SPSTNO_1437566"
"U1","1","","ATSAMD21G15A-AU"
"U2","1","","IP4220CZ6"
"U3","1","","AZ1117CH-3.3"
"U4","1","","74LVC1G14GW"
"Y1","1","","9HT7"
